Итерация - 1, средняя ошибка = 0.18058404304656073
Итерация - 2, средняя ошибка = 0.1658677458423524
Итерация - 3, средняя ошибка = 0.15792553807735274
Итерация - 4, средняя ошибка = 0.15321829164766015
Итерация - 5, средняя ошибка = 0.15017410596798197
Итерация - 6, средняя ошибка = 0.1480616894911098
Итерация - 7, средняя ошибка = 0.14650721548066997
Итерация - 8, средняя ошибка = 0.14530678535016292
Итерация - 9, средняя ошибка = 0.1443436557609616
Итерация - 10, средняя ошибка = 0.1435479102595199
Итерация - 11, средняя ошибка = 0.14287566234421964
Итерация - 12, средняя ошибка = 0.14229797318451243
Итерация - 13, средняя ошибка = 0.1417948088390999
Итерация - 14, средняя ошибка = 0.14135167193818754
Итерация - 15, средняя ошибка = 0.14095767379245439
Итерация - 16, средняя ошибка = 0.14060439315897177
Итерация - 17, средняя ошибка = 0.14028517229830867
Итерация - 18, средняя ошибка = 0.13999466213797895
Итерация - 19, средняя ошибка = 0.13972851405611042
Итерация - 20, средняя ошибка = 0.13948316153416712
Итерация - 21, средняя ошибка = 0.13925565948703322
Итерация - 22, средняя ошибка = 0.13904356240911062
Итерация - 23, средняя ошибка = 0.1388448298330535
Итерация - 24, средняя ошибка = 0.138657751758405
Итерация - 25, средняя ошибка = 0.13848088913690249
Итерация - 26, средняя ошибка = 0.13831302597716552
Итерация - 27, средняя ошибка = 0.13815313056933606
Итерация - 28, средняя ошибка = 0.13800032395465328
Итерация - 29, средняя ошибка = 0.13785385419953006
Итерация - 30, средняя ошибка = 0.13771307534812155
Итерация - 31, средняя ошибка = 0.13757743016215196
Итерация - 32, средняя ошибка = 0.13744643593635866
Итерация - 33, средняя ошибка = 0.1373196728177678
Итерация - 34, средняя ошибка = 0.13719677416731837
Итерация - 35, средняя ошибка = 0.13707741859013597
Итерация - 36, средняя ошибка = 0.13696132333106958
Итерация - 37, средняя ошибка = 0.13684823878867594
Итерация - 38, средняя ошибка = 0.136737943946512
Итерация - 39, средняя ошибка = 0.13663024255756312
Итерация - 40, средняя ошибка = 0.1365249599476268
Итерация - 41, средняя ошибка = 0.13642194032783736
Итерация - 42, средняя ошибка = 0.13632104452635552
Итерация - 43, средняя ошибка = 0.13622214806541463
Итерация - 44, средняя ошибка = 0.13612513952311728
Итерация - 45, средняя ошибка = 0.1360299191301663
Итерация - 46, средняя ошибка = 0.13593639756055495
Итерация - 47, средняя ошибка = 0.1358444948824806
Итерация - 48, средняя ошибка = 0.13575413964170013
Итерация - 49, средняя ошибка = 0.13566526805443493
Итерация - 50, средняя ошибка = 0.13557782329096374
Итерация - 51, средняя ошибка = 0.1354917548343651
Итерация - 52, средняя ошибка = 0.13540701790161858
Итерация - 53, средняя ошибка = 0.13532357291654673
Итерация - 54, средняя ошибка = 0.13524138502596664
Итерация - 55, средняя ошибка = 0.13516042365198644
Итерация - 56, средняя ошибка = 0.13508066207469005
Итерация - 57, средняя ошибка = 0.1350020770405398
Итерация - 58, средняя ошибка = 0.1349246483927431
Итерация - 59, средняя ошибка = 0.1348483587205918
Итерация - 60, средняя ошибка = 0.1347731930254262
Итерация - 61, средняя ошибка = 0.13469913840141876
Итерация - 62, средняя ошибка = 0.13462618372982488
Итерация - 63, средняя ошибка = 0.1345543193857351
Итерация - 64, средняя ошибка = 0.1344835369566814
Итерация - 65, средняя ошибка = 0.13441382897272164
Итерация - 66, средняя ошибка = 0.13434518864784584
Итерация - 67, средняя ошибка = 0.13427760963273033
Итерация - 68, средняя ошибка = 0.13421108577900998
Итерация - 69, средняя ошибка = 0.13414561091535038
Итерация - 70, средняя ошибка = 0.1340811786356813
Итерация - 71, средняя ошибка = 0.13401778210001028
Итерация - 72, средняя ошибка = 0.1339554138482585
Итерация - 73, средняя ошибка = 0.1338940656275711
Итерация - 74, средняя ошибка = 0.13383372823353482
Итерация - 75, средняя ошибка = 0.1337743913657027
Итерация - 76, средняя ошибка = 0.1337160434977722
Итерация - 77, средняя ошибка = 0.13365867176269702
Итерация - 78, средняя ошибка = 0.13360226185293358
Итерация - 79, средняя ошибка = 0.133546797935932
Итерация - 80, средняя ошибка = 0.13349226258488514
Итерация - 81, средняя ошибка = 0.13343863672464598
Итерация - 82, средняя ошибка = 0.1333858995926161
Итерация - 83, средняя ошибка = 0.1333340287143031
Итерация - 84, средняя ошибка = 0.13328299989313858
Итерация - 85, средняя ошибка = 0.13323278721404572
Итерация - 86, средняя ошибка = 0.133183363060152
Итерация - 87, средняя ошибка = 0.13313469814195186
Итерация - 88, средняя ошибка = 0.13308676153814594
Итерация - 89, средняя ошибка = 0.13303952074731318
Итерация - 90, средняя ошибка = 0.13299294174951465
Итерация - 91, средняя ошибка = 0.13294698907688082
Итерация - 92, средняя ошибка = 0.1329016258921996
Итерация - 93, средняя ошибка = 0.13285681407450078
Итерация - 94, средняя ошибка = 0.1328125143106224
Итерация - 95, средняя ошибка = 0.13276868619174595
Итерация - 96, средняя ошибка = 0.1327252883139007
Итерация - 97, средняя ошибка = 0.13268227838146082
Итерация - 98, средняя ошибка = 0.1326396133126914
Итерация - 99, средняя ошибка = 0.13259724934644063
Итерация - 100, средняя ошибка = 0.13255514214912512
